date,fapar,fapar_u
2023-02-26,0.5981634187154075,0.02449491347687412
2023-03-03,0.31865134997452876,0.034401236850792036
2023-03-23,0.625811423195807,0.023046783678206367
2023-04-02,0.15720019011406844,0.038600111610804275
2023-05-17,0.0,0.022005400944547945
2023-05-27,0.025648657579512596,0.031238136289282615
2023-06-06,0.04605912106135984,0.0359214350275855
2023-06-11,0.10158261592846743,0.039627296921376384
2023-06-16,0.18974362553890373,0.03789572578021894
2023-06-21,0.3144583914108118,0.03503123805541972
2023-06-26,0.4677420842299415,0.02986257637769187
2023-07-06,0.5134319727891157,0.02808174497247031
2023-08-15,0.5287664087776058,0.02721546825768398
2023-08-20,0.5758857318762507,0.025908051214659215
2023-09-04,0.5402611360470515,0.02732110709485688
2023-09-09,0.5202865595673611,0.027708535976793132
2023-09-14,0.5147262631154157,0.027881503810235377
2023-09-24,0.46790463483146055,0.02968850614197828
2023-11-08,0.04337472160356348,0.03519662399569155
2023-11-28,0.21234915397631132,0.03741270094706885
2023-12-03,0.18032702431183445,0.03814786724478165
